month,people
2011/1/1,133559
2011/1/6,132643
2011/1/11,134435
2011/1/16,134058
2011/1/21,133189
2011/1/26,133745
2011/1/31,134288
2011/2/5,133501
2011/2/10,132599
2011/2/15,133512
2011/2/20,133572
2011/2/25,132732
2011/3/2,132362
2011/3/7,132867
2011/3/12,132608
2011/3/17,133250
2011/3/22,133958
2011/3/27,133901
2011/4/1,134462
2011/4/6,134273
2011/4/11,134249
2011/4/16,134376
2011/4/21,134217
2011/4/26,134202
2011/5/1,134638
2011/5/6,134111
2011/5/11,134004
2011/5/16,134907
2011/5/21,134899
2011/5/26,135362
2011/5/31,135882
2011/6/5,135975
2011/6/10,135662
2011/6/15,135832
2011/6/20,135726
2011/6/25,136255
2011/6/30,136038
2011/7/5,135633
2011/7/10,136122
2011/7/15,136256
2011/7/20,135729
2011/7/25,136470
2011/7/30,136895
2011/8/4,136083
2011/8/9,135478
2011/8/14,135360
2011/8/19,135311
2011/8/24,134693
2011/8/29,135305
2011/9/3,134280
2011/9/8,133883
2011/9/13,133741
2011/9/18,133909
2011/9/23,134645
2011/9/28,135566
2011/10/3,134837
2011/10/8,134875
2011/10/13,134642
2011/10/18,134700
2011/10/23,134145
2011/10/28,134339
2011/11/2,134443
2011/11/7,134790
2011/11/12,135178
2011/11/17,135653
2011/11/22,136783
2011/11/27,137641
2011/12/2,136816
2011/12/7,137294
2011/12/12,137534
2011/12/17,137836
2011/12/22,137607
2011/12/27,137757
2012/1/1,137043
2012/1/6,137342
2012/1/11,138628
2012/1/16,137815
2012/1/21,138036
2012/1/26,138647
2012/1/31,138488
2012/2/5,138127
2012/2/10,138250
2012/2/15,138738
2012/2/20,138884
2012/2/25,139346
2012/3/1,138618
2012/3/6,138009
2012/3/11,137943
2012/3/16,138029
2012/3/21,138709
2012/3/26,139532
2012/3/31,139168
2012/4/5,139287
2012/4/10,139214
2012/4/15,139660
2012/4/20,139615
2012/4/25,138968
2012/4/30,138439
2012/5/5,139525
2012/5/10,139842
2012/5/15,139527
2012/5/20,139796
2012/5/25,140523
2012/5/30,140133
2012/6/4,140583
2012/6/9,140610
2012/6/14,140710
2012/6/19,140170
2012/6/24,139502
2012/6/29,140118
2012/7/4,139986
2012/7/9,139812
2012/7/14,138652
2012/7/19,137858
2012/7/24,138561
2012/7/29,137825
2012/8/3,137563
2012/8/8,138071
2012/8/13,137469
2012/8/18,138197
2012/8/23,138702
2012/8/28,138730
2012/9/2,138875
2012/9/7,138160
2012/9/12,137801
2012/9/17,137837
2012/9/22,138593
2012/9/27,137587
2012/10/2,136366
2012/10/7,135855
2012/10/12,136024
2012/10/17,135395
